Date,AMZNAdjCloseAMZN,AMZNVolumeAMZN,ACNAdjCloseACN,ACNVolumeACN,NVDAAdjCloseNVDA,NVDAVolumeNVDA,AAPLAdjCloseAAPL,AAPLVolumeAAPL,GOOGLAdjCloseGOOGL,GOOGLVolumeGOOGL
2024-02-28 00:00:00+00:00,173.16000366210938,28180500,373.40771484375,1264200,77.64633178710938,393110000,180.9647979736328,48953900,136.0431365966797,37328600
2024-02-29 00:00:00+00:00,176.75999450683594,53805400,370.1974792480469,3329500,79.09502410888672,507289000,180.29647827148438,136682600,138.11801147460938,42133000
2024-03-01 00:00:00+00:00,178.22000122070312,31956200,376.3315124511719,2109900,82.26134490966797,479135000,179.20921325683594,73488000,136.80125427246094,31119500
2024-03-04 00:00:00+00:00,177.5800018310547,37381500,379.0182800292969,1642900,85.21871185302734,615616000,174.66065979003906,81510100,133.0206298828125,55999400
2024-03-05 00:00:00+00:00,174.1199951171875,37228300,372.27178955078125,1539400,85.9495849609375,520639000,169.69314575195312,95132400,132.34230041503906,40194800
2024-03-06 00:00:00+00:00,173.50999450683594,32090900,376.1734924316406,1451200,88.68512725830078,582520000,168.69566345214844,68587700,131.07542419433594,35318600
2024-03-07 00:00:00+00:00,176.82000732421875,34063300,382.1791687011719,1564300,92.65345764160156,608119000,168.57595825195312,71765100,134.04808044433594,37738200
2024-03-08 00:00:00+00:00,175.35000610351562,37853500,373.5460205078125,1641100,87.5133285522461,1142269000,170.30162048339844,76114600,135.07553100585938,39343100
2024-03-11 00:00:00+00:00,171.9600067138672,28484800,368.6565246582031,2220000,85.7596206665039,678364000,172.31655883789062,60139500,137.32994079589844,32437800
2024-03-12 00:00:00+00:00,175.38999938964844,36610600,375.8277893066406,1793700,91.89759063720703,668075000,172.7953338623047,59825400,138.15789794921875,27563400
2024-03-13 00:00:00+00:00,176.55999755859375,30772600,374.08929443359375,1635800,90.87276458740234,635713000,170.70062255859375,52488700,139.4447021484375,23347200
2024-03-14 00:00:00+00:00,178.75,43705800,373.58551025390625,1706700,87.92925262451172,602318000,172.56593322753906,72913500,142.7465362548828,42753400
2024-03-15 00:00:00+00:00,174.4199981689453,72115500,370.0196838378906,3865400,87.822265625,642086000,172.18687438964844,121664700,140.83126831054688,49460600
2024-03-18 00:00:00+00:00,174.47999572753906,31250700,368.11328125,2164400,88.44017028808594,668976000,173.28411865234375,75604200,147.31521606445312,69273700
2024-03-19 00:00:00+00:00,175.89999389648438,26880900,373.4571228027344,2062800,89.38301849365234,672171000,175.63821411132812,55215200,146.6668243408203,24070400
2024-03-20 00:00:00+00:00,178.14999389648438,29947200,375.78826904296875,2877600,90.35684967041016,479063000,178.22169494628906,53423100,148.3726043701172,21311500
2024-03-21 00:00:00+00:00,178.14999389648438,32824300,340.8112487792969,9574800,91.41967010498047,480372000,170.94000244140625,106181300,147.2354278564453,24755600
2024-03-22 00:00:00+00:00,178.8699951171875,27964100,333.373291015625,5899300,94.273193359375,586719000,171.84771728515625,71106600,150.39759826660156,29175700
2024-03-25 00:00:00+00:00,179.7100067138672,29815500,329.7383117675781,5320000,94.98606872558594,552136000,170.42132568359375,54288300,149.69932556152344,19229300
2024-03-26 00:00:00+00:00,178.3000030517578,29659000,332.2768859863281,3006500,92.54547882080078,513648000,169.2841796875,57388400,150.29783630371094,22149100
2024-03-27 00:00:00+00:00,179.8300018310547,33272600,336.771240234375,3295200,90.23486328125,586067000,172.87513732910156,60273300,150.49732971191406,22879200
2024-03-28 00:00:00+00:00,180.3800048828125,38051600,342.37188720703125,3614900,90.34085083007812,435212000,171.0497283935547,65672700,150.55718994140625,24485400
2024-04-01 00:00:00+00:00,180.97000122070312,29174500,335.02288818359375,2320200,90.34784698486328,452441000,169.60337829589844,46240500,155.10594177246094,31730800
2024-04-02 00:00:00+00:00,180.69000244140625,32611500,332.34600830078125,2453300,89.43700408935547,433064000,168.41635131835938,49329500,154.17822265625,24586000
2024-04-03 00:00:00+00:00,182.41000366210938,31046600,328.2171325683594,1975700,88.94908142089844,370067000,169.22433471679688,47691700,154.53733825683594,24705000
2024-04-04 00:00:00+00:00,180.0,41624300,326.42926025390625,2273000,85.89059448242188,434965000,168.39642333984375,53704400,150.15818786621094,34724700
2024-04-05 00:00:00+00:00,185.07000732421875,42335200,328.9283142089844,3694700,87.99324798583984,399678000,169.15451049804688,42055200,152.12332153320312,23449300
2024-04-08 00:00:00+00:00,185.19000244140625,39221300,327.74298095703125,2431900,87.11839294433594,283220000,168.02734375,37425500,154.46751403808594,20702000
2024-04-09 00:00:00+00:00,185.6699981689453,36546900,330.360595703125,2416600,85.33968353271484,503547000,169.24427795410156,42451200,156.21319580078125,31113000
2024-04-10 00:00:00+00:00,185.9499969482422,35879200,321.6741943359375,2156700,87.02440643310547,431929000,167.3590087890625,49709300,155.7543182373047,22838600
2024-04-11 00:00:00+00:00,189.0500030517578,40020700,322.4575500488281,2204200,90.60079956054688,431637000,174.60079956054688,91070300,159.01625061035156,27166400
2024-04-12 00:00:00+00:00,186.1300048828125,38554300,312.74981689453125,4207400,88.17121124267578,426805000,176.10702514648438,101593300,157.34039306640625,25329200
2024-04-15 00:00:00+00:00,183.6199951171875,48052400,310.6377258300781,2997900,85.98657989501953,443077000,172.25669860839844,73531800,154.4774932861328,27136500
2024-04-16 00:00:00+00:00,183.32000732421875,32891300,311.3020935058594,2900300,87.40034484863281,370453000,168.95501708984375,73711200,154.01861572265625,20779500
2024-04-17 00:00:00+00:00,181.27999877929688,31359700,311.8970642089844,2760000,84.02091217041016,495400000,167.57847595214844,50901200,155.0859832763672,21763100
2024-04-18 00:00:00+00:00,179.22000122070312,30723800,313.34478759765625,3025100,84.65679931640625,447260000,166.62086486816406,43122900,155.6246337890625,19883000
2024-04-19 00:00:00+00:00,174.6300048828125,55950000,314.2173767089844,3381500,76.18722534179688,875198000,164.58599853515625,67772100,153.70938110351562,32239100
2024-04-22 00:00:00+00:00,177.22999572753906,37924900,314.75286865234375,2433300,79.50466918945312,596341000,165.4238739013672,48116400,155.89398193359375,26446200
2024-04-23 00:00:00+00:00,179.5399932861328,37046500,314.16778564453125,2000300,82.4091796875,438559000,166.48121643066406,49537800,157.86907958984375,21151600
2024-04-24 00:00:00+00:00,176.58999633789062,34185100,310.90545654296875,4133800,79.66364288330078,512208000,168.59591674804688,48251800,158.73695373535156,22779100
2024-04-25 00:00:00+00:00,173.6699981689453,49249400,306.4035949707031,3639000,82.61814880371094,424641000,169.46372985839844,50558300,155.6146697998047,57109700
2024-04-26 00:00:00+00:00,179.6199951171875,43919800,305.42193603515625,3371800,87.72028350830078,551011000,168.87521362304688,44838400,171.52528381347656,64665300
2024-04-29 00:00:00+00:00,180.9600067138672,54063900,300.6126708984375,4719100,87.7422866821289,388971000,173.06466674804688,68169400,165.73959350585938,45610000
